Vocabulary size:88773
High Freq Words:
है 225951
के 220795
blogspot 216910
में 176780
की 157715
2012 137528
से 126190
और 116400
को 109208
का 103317
2011 92891
हैं 82647
भी 81452
पर 73762
नहीं 70834
कि 67304
तो 64193
ही 60579
एक 54986
हो 49537
ने 46678
कर 44937
था 41883
इस 36653
यह 36264
लिए 30198
वह 26429
जो 25043
अपने 24665
कुछ 24251
गया 23866
थी 22923
थे 21532
कोई 21411
रहा 20087
साथ 19944
किया 19583
करने 19409
रहे 18895
मैं 18850
क्या 18303
तक 17851
किसी 17574
जब 16603
बात 16576
अब 16245
या 16184
ये 16040
दिया 15782
अपनी 15437
रही 15230
लेकिन 15173
फिर 15112
हम 15107
हुए 15100
तरह 14129
बाद 13831
होता 13398
उस 13182
जा 13076
जाता 12927
कहा 12786
wordpress 12383
वे 12368
हुआ 12327
करते 12171
वो 12049
उसे 11843
बहुत 11727
आज 11406
आप 11372
कभी 10623
मुझे 10538
लोग 10488
जी 10387
वाले 10365
उसके 10303
उनके 10273
पहले 10235
दिन 10093
होने 10092
देश 9979
समय 9881
दो 9855
बार 9767
गई 9507
सकता 9376
मेरे 9190
हूँ 9190
गए 9180
जाने 9111
सब 9029
लोगों 9016
काम 9009
हर 8941
घर 8936
होती 8821
जैसे 8343
नाम 8308
सरकार 8190
going in forward direction
Special Countstring Suffix:

Printing Top Suffixes:
ों:18060 0
ी:10236 1
ता:9162 2
ं:7617 3
ा:7518 4
ने:6954 5
ियों:6132 6
े:5691 7
ते:5598 8
ना:5256 9
ती:4782 10
ें:4644 11
कर:4350 12
ो:3024 13
िया:3006 14
्स:2940 15
ओं:2874 16
गा:2874 17
या:2838 18
ंगे:2817 19
र:2796 20
गी:2640 21
न:2607 22
नी:2514 23
िंग:2475 24
यों:2394 25
गे:2364 26
ियां:2352 27
ियाँ:2316 28
ेंगे:2280 29
ाने:2151 30
एं:1872 31
री:1872 32
ाना:1836 33
ाया:1773 34
जी:1728 35
ल:1710 36
रों:1683 37
ेगा:1683 38
पूर्ण:1650 39
ये:1608 40
क:1584 41
वादी:1584 42
़:1557 43
ला:1548 44
ाते:1512 45
रा:1500 46
ित:1500 47
ाई:1458 48
यें:1440 49
ली:1422 50
ाता:1395 51
ई:1380 52
पुर:1359 53
दार:1332 54
ाती:1287 55
त:1278 56
ेगी:1269 57
वा:1260 58
के:1254 59
कार:1233 60
नों:1215 61
यां:1170 62
ाकर:1170 63
पन:1134 64
ानी:1125 65
िक:1110 66
ंगी:1098 67
का:1098 68
वाद:1098 69
ाएं:1098 70
ीय:1098 71
ले:1086 72
ात्मक:1080 73
रे:1074 74
ाये:1062 75
ि:1062 76
याँ:1053 77
ए:1044 78
वाले:1032 79
कारी:1008 80
स:1005 81
ँ:999 82
ीं:996 83
म:993 84
लों:981 85
की:978 86
ार:972 87
एँ:960 88
कों:945 89
ाए:906 90
्य:900 91
सी:876 92
ीकरण:876 93
पूर्वक:864 94
ाओं:855 95
कारों:825 96
ान:822 97
ू:795 98
नेवाले:792 99
ायें:792 100
नाथ:756 101
ारी:756 102
येंगे:750 103
ेश्वर:750 104
िये:738 105
ड़ी:729 106
से:720 107
ज:711 108
ड़ा:711 109
ंग:702 110
र्स:702 111
एंगे:696 112
रिया:696 113
वाला:696 114
़ी:696 115
ट:684 116
डी:684 117
राज:684 118
लाल:684 119
हीन:684 120
ेन्द्र:684 121
सिंह:672 122
य:669 123
वार:666 124
दारी:660 125
राम:657 126
ओ:654 127
वादियों:651 128
टी:642 129
तें:639 130
वान:639 131
ताओं:636 132
