Vocabulary size:120220
High Freq Words:
करने 53913
अपने 48665
लेकिन 34601
अपनी 29989
तरह 27781
उन्होंने 26541
करते 25782
पहले 25237
सरकार 25144
उनके 22858
समय 22757
बहुत 21090
उसके 20835
इसके 20713
सकता 20483
उन्हें 19482
भारत 18646
करना 18019
चाहिए 16192
उनकी 16087
कारण 16029
द्वारा 15627
लेकर 15492
पुलिस 14267
बताया 13957
करता 13123
उसकी 13000
अगर 12872
अपना 12729
जीवन 12469
सकते 12200
अधिक 11983
ज्यादा 11904
सबसे 11606
भारतीय 10980
वर्ष 10969
उसने 10801
क्षेत्र 10650
अन्य 10609
दिल्ली 10485
इससे 10362
हमारे 10268
राज्य 10069
अलग 9896
सकती 9792
सामने 9778
उनका 9732
क्योंकि 9720
उसका 9683
पार्टी 9637
दूसरे 9599
इसलिए 9473
फिल्म 9392
दौरान 9354
कांग्रेस 9340
प्रकार 9264
रुपये 9073
विकास 8975
करती 8741
मामले 8663
इसका 8500
खिलाफ 8457
बाहर 8325
प्रदेश 8233
व्यक्ति 8005
प्रति 7834
लगता 7832
केवल 7785
कार्य 7779
इसमें 7763
पूर्व 7722
चुनाव 7719
अनुसार 7579
मंत्री 7520
आपको 7494
पिछले 7487
शामिल 7457
जबकि 7367
समाज 7281
कुमार 7256
करके 7192
प्राप्त 7006
जनता 6969
दुनिया 6965
जाएगा 6961
जगह 6949
स्थिति 6932
कहते 6921
सिर्फ 6895
बनाने 6891
तैयार 6694
कहना 6686
ध्यान 6165
व्यवस्था 6161
रहने 6133
परिवार 6029
अच्छा 6009
जिसमें 5976
इतना 5943
प्रतिशत 5925
going in forward direction
Special Countstring Suffix:

Printing Top Suffixes:
ों:23238 0
ी:10803 1
ता:7794 2
ं:6960 3
ा:6831 4
ियों:6756 5
्स:5802 6
े:4113 7
ें:3858 8
ओं:3432 9
िंग:3330 10
ने:3180 11
ते:2670 12
यों:2655 13
ो:2625 14
पूर्ण:2550 15
ियां:2544 16
पुर:2502 17
ना:2244 18
िया:2205 19
ती:2142 20
कर:2136 21
ात्मक:2100 22
र:2001 23
ीय:1890 24
वादी:1848 25
सिंह:1848 26
ित:1824 27
न:1776 28
ियाँ:1776 29
पूर्वक:1602 30
जी:1584 31
या:1584 32
ीकरण:1584 33
एं:1536 34
िक:1494 35
ंगे:1485 36
वाद:1449 37
गा:1416 38
यां:1305 39
़:1290 40
रों:1287 41
वाले:1284 42
गी:1242 43
ि:1074 44
ाओं:1044 45
के:1014 46
गे:1014 47
कारी:1008 48
कार:981 49
ाने:981 50
पन:978 51
र्स:972 52
याँ:963 53
यें:963 54
ाना:954 55
ँ:945 56
त्मक:912 57
करण:909 58
वाला:900 59
कर्ता:885 60
में:873 61
नगर:864 62
ताओं:852 63
क:849 64
्:849 65
दार:846 66
वाली:840 67
ल:837 68
लाल:837 69
नाथ:819 70
वादियों:819 71
कारों:810 72
ाया:810 73
एँ:804 74
नी:804 75
्य:798 76
त:768 77
शास्त्र:756 78
ाते:756 79
हीन:747 80
सी:744 81
ई:741 82
ावस्था:738 83
तापूर्वक:720 84
ेंगे:720 85
ये:714 86
री:714 87
ेश्वर:705 88
काल:693 89
युक्त:690 90
की:684 91
कों:684 92
ाएं:684 93
ाती:684 94
वासियों:672 95
ाचार्य:666 96
िका:657 97
ए:639 98
ाता:639 99
ार्थ:636 100
कर्ताओं:630 101
नों:630 102
ुद्दीन:630 103
कर्मियों:624 104
ेगा:603 105
य:600 106
वालों:600 107
त्व:594 108
ानी:594 109
ार:588 110
स:573 111
शील:567 112
धारी:564 113
गंज:558 114
कालीन:555 115
मेंट:552 116
ियो:549 117
ेशन:549 118
कुमार:540 119
पुरा:540 120
्ड:540 121
ाई:534 122
ाबाद:528 123
ग्रस्त:522 124
ाये:522 125
